name,wikipedia_id,food_group,food_subgroup
Angelica,Angelica,Herbs and Spices,Herbs
Savoy cabbage,Savoy cabbage,Vegetables,Cabbages
Silver linden,Tilia tomentosa,Herbs and Spices,Herbs
Kiwi,Kiwifruit,Fruits,Tropical fruits
Allium (Onion),Allium haematochiton,Vegetables,Onion-family vegetables
Garden onion,Onion,Vegetables,Onion-family vegetables
Leek,Leek,Vegetables,Onion-family vegetables
Garlic,Garlic,Herbs and Spices,Herbs
Chives,Chives,Herbs and Spices,Herbs
Lemon verbena,Aloysia citrodora,Herbs and Spices,Herbs
Cashew nut,Cashew_nut,Nuts,Nuts
Pineapple,Pineapple,Fruits,Tropical fruits
Dill,Dill,Herbs and Spices,Herbs
Custard apple,Custard apple,Fruits,Tropical fruits
Wild celery,Wild celery,Herbs and Spices,Spices
Peanut,Mr. Peanut,Nuts,Nuts
Burdock,Arctium_lappa,Vegetables,Root vegetables
Horseradish,Horseradish,Herbs and Spices,Spices
Tarragon,Artemisia_dracunculus,Herbs and Spices,Herbs
Mugwort,List of plants named mugwort,Herbs and Spices,Herbs
Asparagus,Asparagus,Vegetables,Shoot vegetables
Oat,Oat,Cereals and cereal products,Cereals
Star fruit,Averrhoa carambola,Fruits,Tropical fruits
Brazil nut,Brazil nut,Nuts,Nuts
Common beet,Beet,Vegetables,Leaf vegetables
Borage,Borage,Herbs and Spices,Oilseed crops
Chinese mustard,Brassica juncea,Vegetables,Cabbages
Swede,Rutabaga,Vegetables,Root vegetables
Rape,Rapeseed,Vegetables,Root vegetables
Common cabbage,Brassica_oleracea,Vegetables,Cabbages
Cauliflower,Cauliflower,Vegetables,Cabbages
Brussel sprouts,Brussels sprout,Vegetables,Cabbages
Kohlrabi,Kohlrabi,Vegetables,Root vegetables
Broccoli,Broccoli,Vegetables,Cabbages
Chinese cabbage,Chinese_cabbage,Vegetables,Cabbages
Turnip,Turnip,Herbs and Spices,Herbs
Pigeon pea,Pigeon pea,Pulses,Peas
Tea,Tea,Teas,Teas
Capers,Capers,Herbs and Spices,Spices
Pepper (C. annuum),Capsicum_annuum,Vegetables,Fruit vegetables
Papaya,Papaya,Fruits,Tropical fruits
Safflower,Safflower,Herbs and Spices,Oilseed crops
Caraway,Caraway,Herbs and Spices,Spices
Pecan nut,Pecan_nut,Nuts,Nuts
Chestnut,Chestnut,Nuts,Nuts
Roman camomile,Chamaemelum nobile,Herbs and Spices,Herbs
Chickpea,Chickpea,Pulses,Peas
Endive,Endive,Vegetables,Leaf vegetables
Chicory,Chicory,Vegetables,Root vegetables
Chinese cinnamon,Chinese_cinnamon,Herbs and Spices,Spices
Ceylon cinnamon,Cinnamomum_verum,Herbs and Spices,Spices
Watermelon,Watermelon,Gourds,Gourds
Lime,Citrus_aurantiifolia,Fruits,Citrus
Lemon,Lemon,Fruits,Citrus
Pummelo,Pomelo,Fruits,Citrus
"Mandarin orange (Clementine, Tangerine)",Mandarin_orange,Fruits,Citrus
Sweet orange,Sweet_orange,Fruits,Citrus
Coffee,Coffee,Coffee and coffee products,Coffee
Arabica coffee,Arabica_coffee,Coffee and coffee products,Coffee
Robusta coffee,Robusta coffee,Coffee and coffee products,Coffee
Coriander,Coriander,Herbs and Spices,Herbs
Common hazelnut,Corylus avellana,Nuts,Nuts
Saffron,Saffron,Herbs and Spices,Spices
Muskmelon,Muskmelon,Gourds,Gourds
Cucumber,Cucumber,Gourds,Gourds
Cucurbita (Gourd),Cucurbita,Gourds,Gourds
Cumin,Cumin,Herbs and Spices,Spices
Turmeric,Turmeric,Herbs and Spices,Spices
Quince,Quince,Fruits,Pomes
Lemon grass,Cymbopogon citratus,Herbs and Spices,Herbs
Globe artichoke,Artichoke,Vegetables,Shoot vegetables
Wild carrot,Daucus carota,Vegetables,Root vegetables
Japanese persimmon,Japanese_persimmon,Fruits,Tropical fruits
Cardamom,Cardamom,Herbs and Spices,Spices
Black crowberry,Empetrum nigrum,Fruits,Berries
Loquat,Loquat,Fruits,Tropical fruits
Rocket salad (ssp.),Rocket_(salad),Vegetables,Leaf vegetables
Wax apple,Wax_apple,Fruits,Tropical fruits
Common buckwheat,Buckwheat,Cereals and cereal products,Cereals
Tartary buckwheat,Fagopyrum tataricum,Cereals and cereal products,Cereals
Fig,Ficus_carica,Fruits,Other fruits
Fennel,Fennel,Herbs and Spices,Herbs
Strawberry,Strawberry,Fruits,Berries
Black huckleberry,Black_huckleberry,Fruits,Berries
Soy bean,Soybean,Soy,Soy
Sunflower,Sunflower,Herbs and Spices,Oilseed crops
Sea-buckthornberry,Hippophae rhamnoides,Fruits,Berries
Barley,Barley,Cereals and cereal products,Cereals
Hyssop,Hyssop,Herbs and Spices,Herbs
Star anise,Illicium verum,Herbs and Spices,Spices
Swamp cabbage,Ipomoea_aquatica,Vegetables,Leaf vegetables
Sweet potato,Sweet Potato Pie (album),Vegetables,Tubers
Black walnut,Black_walnut,Nuts,Nuts
Common walnut,Juglans regia,Nuts,Nuts
Lettuce,Lettuce,Vegetables,Leaf vegetables
Grass pea,Lathyrus sativus,Pulses,Peas
Sweet bay,Sweet_bay,Herbs and Spices,Herbs
Lentils,Lentils,Pulses,Lentils
Garden cress,Garden cress,Vegetables,Leaf vegetables
Lovage,Lovage,Herbs and Spices,Herbs
Flaxseed,Flax,Herbs and Spices,Oilseed crops
Mexican oregano,Mexican_oregano,Herbs and Spices,Herbs
Lichee,Lichee,Fruits,Tropical fruits
Lupine,Lupin,Pulses,Other pulses
Apple,Apple,Fruits,Pomes
Mango,Mango,Fruits,Tropical fruits
German camomile,Matricaria chamomilla,Herbs and Spices,Herbs
Lemon balm,Melissa officinalis,Herbs and Spices,Herbs
Mentha (Mint),Mentha,Herbs and Spices,Herbs
Orange mint,Mentha_citrata,Herbs and Spices,Herbs
Cornmint,Mentha arvensis,Herbs and Spices,Herbs
Spearmint,Spearmint,Herbs and Spices,Herbs
Peppermint,Peppermint,Herbs and Spices,Herbs
Medlar,Medlar,Fruits,Pomes
Bitter gourd,Bitter melon,Gourds,Gourds
Mulberry,Mulberry,Fruits,Berries
Black mulberry,Black_mulberry,Fruits,Berries
Nutmeg,Nutmeg,Herbs and Spices,Spices
Sweet basil,Sweet_basil,Herbs and Spices,Herbs
Evening primrose,Evening_primrose,Herbs and Spices,Oilseed crops
Olive,Olive,Vegetables,Fruit vegetables
Sweet marjoram,Sweet_marjoram,Herbs and Spices,Herbs
Pot marjoram,Pot_marjoram,Herbs and Spices,Herbs
Common oregano,Oregano,Herbs and Spices,Herbs
Rice,Rice,Cereals and cereal products,Cereals
Millet,Millet,Cereals and cereal products,Cereals
Poppy,Poppy,Herbs and Spices,Oilseed crops
Passion fruit,Passiflora edulis,Fruits,Tropical fruits
Parsnip,Parsnip,Vegetables,Root vegetables
Avocado,Avocado,Vegetables,Fruit vegetables
Parsley,Parsley,Herbs and Spices,Herbs
Scarlet bean,Phaseolus_coccineus,Pulses,Beans
Lima bean,Phaseolus lunatus,Pulses,Beans
Common bean,Phaseolus_vulgaris,Pulses,Beans
Date,Date_(fruit)#Dates,Fruits,Other fruits
Black chokeberry,Photinia_melanocarpa,Fruits,Berries
Anise,Anise,Herbs and Spices,Herbs
Pine nut,Pine nut,Nuts,Nuts
Pepper (Spice),Black pepper,Herbs and Spices,Spices
Pistachio,Pistachio,Nuts,Nuts
Common pea,Pea,Pulses,Peas
Purslane,Purslane,Herbs and Spices,Herbs
"Prunus (Cherry, Plum)",Prunus,Fruits,Drupes
Apricot,Apricot,Fruits,Drupes
Sweet cherry,Prunus avium,Fruits,Drupes
Sour cherry,Prunus_cerasus,Fruits,Drupes
European plum,Prunus_domestica,Fruits,Drupes
Almond,Prunus_dulcis,Nuts,Nuts
Peach,Peach,Fruits,Drupes
Guava,Guava,Fruits,Tropical fruits
Pomegranate,Pomegranate,Fruits,Tropical fruits
Pear,Pear,Fruits,Pomes
Radish,Radish,Vegetables,Root vegetables
Garden rhubarb,Rhubarb,Vegetables,Stalk vegetables
Blackcurrant,Blackcurrant,Fruits,Berries
Redcurrant,Redcurrant,Fruits,Berries
Gooseberry,Gooseberry,Fruits,Berries
Watercress,Watercress,Herbs and Spices,Herbs
Rosemary,Rosemary,Herbs and Spices,Herbs
"Rubus (Blackberry, Raspberry)",Rubus,Fruits,Berries
Cloudberry,Cloudberry,Fruits,Berries
Red raspberry,Red_raspberry,Fruits,Berries
Black raspberry,Black raspberry,Fruits,Berries
Sorrel,Sorrel,Herbs and Spices,Herbs
